city,state_admin1,population,latitude,longitude,geonameid
Port Saint Lucie,FL,164603,27.29393,-80.35033,4169171
Corona,CA,164226,33.87529,-117.56644,5339631
McKinney,TX,162898,33.19762,-96.61527,4710178
Lancaster,CA,161103,34.69804,-118.13674,5364940
Cary,NC,159769,35.79154,-78.78112,4459467
Alexandria,VA,159467,38.80484,-77.04692,4744091
Tempe Junction,AZ,158368,33.41421,-111.94348,5317071
Palmdale,CA,158351,34.57943,-118.11646,5380698
Hayward,CA,158289,37.66882,-122.0808,5355933
Salinas,CA,157380,36.67774,-121.6555,5391295
Sunnyvale,CA,155805,37.36883,-122.03635,5400075
Frisco,TX,154407,33.15067,-96.82361,4692559
Springfield,MA,154341,42.10148,-72.58981,4951788
East Chattanooga,TN,154024,35.06535,-85.24912,4619947
Pasadena,TX,153784,29.69106,-95.2091,4717782
Jackson,MS,153701,32.29876,-90.18481,4431410
Pomona,CA,153266,34.05529,-117.75228,5384170
Kansas City,KS,152933,39.11417,-94.62746,4273837
Washington Heights,NY,152613,40.8501,-73.93541,5143307
Lakewood,CO,152597,39.70471,-105.08137,5427946
Escondido,CA,151038,33.11921,-117.08642,5346827
Astoria,NY,150165,40.77205,-73.93014,5107464
Hollywood,FL,149728,26.0112,-80.14949,4158928
Borough Park,NY,149248,40.63399,-73.99681,5109790
Valencia,CA,148456,34.44361,-118.60953,5405288
Rockford,IL,148278,42.27113,-89.094,4907959
East Hampton,VA,147993,37.03737,-76.33161,4756955
Joliet,IL,147861,41.52519,-88.0834,4898015
Savannah,GA,147780,32.08354,-81.09983,4221552
Paterson,NJ,147754,40.91677,-74.17181,5102466
Bridgeport,CT,147629,41.17923,-73.18945,5282804
Naperville,IL,147100,41.78586,-88.14729,4903279
Gainesville,FL,145214,29.65163,-82.32483,4156404
Mesquite,TX,144788,32.7668,-96.59916,4710826
Syracuse,NY,144142,43.04812,-76.14742,5140405
Torrance,CA,143592,33.83585,-118.34063,5403022
Surprise,AZ,143148,33.63059,-112.33322,5316428
Metairie Terrace,LA,142489,29.97854,-90.16396,4333190
Columbia,SC,142416,34.00071,-81.03481,4575352
Pasadena,CA,142250,34.14778,-118.14452,5381396
Orange,CA,140992,33.78779,-117.85311,5379513
Fullerton,CA,140847,33.87029,-117.92534,5351247
Killeen,TX,140806,31.11712,-97.7278,4703223
McAllen,TX,140269,26.20341,-98.23001,4709796
Bellevue,WA,139820,47.61038,-122.20068,5786882
Metairie,LA,138481,29.98409,-90.15285,4333177
Hampton,VA,137148,37.02987,-76.34522,4762894
Miramar,FL,137132,25.98731,-80.23227,4164601
Van Nuys,CA,136443,34.18667,-118.44897,5405693
West Valley City,UT,136208,40.69161,-112.00105,5784607
Dayton,OH,135512,39.75895,-84.19161,4509884
Olathe,KS,134305,38.8814,-94.81913,4276614
Warren,MI,134056,42.49044,-83.01304,5014051
Thornton,CO,133451,39.86804,-104.97192,5441492
Carrollton,TX,133168,32.95373,-96.89028,4679195
Charleston,SC,132609,32.77632,-79.93275,4574324
Midland,TX,132524,31.99735,-102.07791,5526337
Waco,TX,132356,31.54933,-97.14667,4739526
Sterling Heights,MI,132052,42.58031,-83.0302,5011148
Denton,TX,131044,33.21484,-97.13307,4685907
Cedar Rapids,IA,130405,42.00833,-91.64407,4850751
New Haven,CT,130322,41.30815,-72.92816,4839366
Roseville,CA,130269,38.75212,-121.28801,5388881
Visalia,CA,130104,36.33023,-119.29206,5406567
Coral Springs,FL,129485,26.27119,-80.2706,4151909
Thousand Oaks,CA,129339,34.17056,-118.83759,5402405
Columbia,MO,129330,38.95171,-92.33407,4381982
Elizabeth,NJ,129007,40.66399,-74.2107,5097598
Stamford,CT,128874,41.05343,-73.53873,4843564
Concord,CA,128667,37.97798,-122.03107,5339111
Norman,OK,128026,35.22257,-97.43948,4543762
Alhambra,AZ,127764,33.49838,-112.13432,5551123
Athens,GA,127315,33.96095,-83.37794,4180386
Kent,WA,126952,47.38093,-122.23484,5799625
Simi Valley,CA,126788,34.26945,-118.78148,5396003
East Los Angeles,CA,126496,34.0239,-118.17202,5344994
Santa Clara,CA,126215,37.35411,-121.95524,5393015
Sunset Park,NY,126000,40.64548,-74.01241,8436486
Topeka,KS,125963,39.04833,-95.67804,4280539
Abilene,TX,125182,32.44874,-99.73314,4669635
Koreatown,CA,124281,34.05779,-118.30091,5363748
Sheepshead Bay,NY,122534,40.59122,-73.94458,5137849
Amherst,NY,122366,42.97839,-78.79976,5107129
Victorville,CA,122225,34.53611,-117.29116,5406222
Vallejo,CA,121692,38.10409,-122.25664,5405380
Lafayette,LA,121374,30.22409,-92.01984,4330145
Chico,CA,121345,39.72849,-121.83748,5336269
North Stamford,CT,121230,41.13815,-73.54346,4839745
Hartford,CT,121054,41.76371,-72.68509,4835797
Berkeley,CA,120972,37.87159,-122.27275,5327684
West Palm Beach,FL,120932,26.71534,-80.05337,4177887
Allentown,PA,120207,40.60843,-75.49018,5178127
Evansville,IN,119943,37.97476,-87.55585,4257227
Palm Bay,FL,119760,28.03446,-80.58866,4167499
Fargo,ND,118523,46.87719,-96.7898,5059163
Clearwater,FL,117292,27.96585,-82.8001,4151316
Independence,MO,117255,39.09112,-94.41551,4391812
Billings,MT,117116,45.78329,-108.50069,5640350
Ann Arbor,MI,117070,42.27756,-83.74088,4984247
El Monte,CA,116732,34.06862,-118.02757,5345743
Harlem,NY,116345,40.80788,-73.94542,5120034
Westminster,CO,116317,39.83665,-105.0372,5443910
Round Rock,TX,115997,30.50826,-97.6789,4724129
Wilmington,NC,115933,34.23556,-77.94604,4499379
East Harlem,NY,115921,40.79472,-73.9425,6332428
Arvada,CO,115368,39.80276,-105.08748,5412199
Beaumont,TX,115282,30.08605,-94.10185,4672989
Provo,UT,115162,40.23384,-111.65853,5780026
Peoria,IL,115070,40.69365,-89.58899,4905687
Carlsbad,CA,114746,33.15809,-117.35059,5334223
Odessa,TX,114428,31.84568,-102.36764,5527554
Springfield,IL,114394,39.80172,-89.64371,4250542
Downey,CA,114219,33.94001,-118.13257,5343858
Elmhurst,NY,113364,40.73649,-73.87791,5116495
Costa Mesa,CA,113204,33.64113,-117.91867,5339840
Miami Gardens,FL,113187,25.94204,-80.2456,4164167
North Peoria,IL,113004,40.71754,-89.58426,4903976
Fairfield,CA,112970,38.24936,-122.03997,5347335
Lansing,MI,112644,42.73253,-84.55553,4998830
Bushwick,NY,112620,40.69427,-73.91875,5110918
Gravesend,NY,112229,40.5976,-73.96514,5119167
Rochester,MN,112225,44.02163,-92.4699,5043473
Elgin,IL,112111,42.03725,-88.28119,4890864
West Jordan,UT,111946,40.60967,-111.9391,5784549
Inglewood,CA,111666,33.96168,-118.35313,5359488
Tuscaloosa,AL,111338,33.20984,-87.56917,4094455
Richardson,TX,110815,32.94818,-96.72972,4722625
Lowell,MA,110699,42.63342,-71.31617,4942618
East Independence,MO,110675,39.09556,-94.35523,4385018
Gresham,OR,110553,45.49818,-122.43148,5729485
Antioch,CA,110542,38.00492,-121.80579,5324200
Cambridge,MA,110402,42.3751,-71.10561,4931972
High Point,NC,110268,35.95569,-80.00532,4471025
Manchester,NH,110229,42.99564,-71.45479,5089178
Temecula,CA,110003,33.49364,-117.14836,5401395
Murrieta,CA,109830,33.55391,-117.21392,5375911
Centennial,CO,109741,39.57916,-104.87692,5416541
Richmond,CA,109708,37.93576,-122.34775,5387428
Corona,NY,109698,40.74705,-73.86014,5113779
Pueblo,CO,109412,38.25445,-104.60914,5435464
Pearland,TX,108821,29.56357,-95.28605,4718097
Waterbury,CT,108802,41.55815,-73.0515,4845193
Greeley,CO,108795,40.42331,-104.70913,5577592
West Covina,CA,108484,34.06862,-117.93895,5407933
Enterprise,NV,108481,36.02525,-115.24194,5503766
North Charleston,SC,108304,32.85462,-79.97481,4589387
Everett,WA,108010,47.97898,-122.20208,5793933
College Station,TX,107889,30.62798,-96.33441,4682464
Pompano Beach,FL,107762,26.23786,-80.12477,4169014
South Fulton,GA,107436,33.59259,-84.67294,12541728
Norwalk,CA,107140,33.90224,-118.08173,5377995
Boulder,CO,106803,40.01499,-105.27055,5574991
Broken Arrow,OK,106563,36.0526,-95.79082,4531405
Daly City,CA,106562,37.70577,-122.46192,5341430
Sandy Springs,GA,105330,33.92427,-84.37854,4221333
Burbank,CA,105319,34.18084,-118.30897,5331835
Green Bay,WI,105207,44.51916,-88.01983,5254962
Santa Maria,CA,105093,34.95303,-120.43572,5393180
Universal City,CA,105000,34.1389,-118.35341,5404794
Wichita Falls,TX,104710,33.91371,-98.49339,4741752
Lakeland,FL,104401,28.03947,-81.9498,4161438
Clovis,CA,104180,36.82523,-119.70292,5338122
Lewisville,TX,104039,33.04623,-96.99417,4706057
Tyler,TX,103700,32.35126,-95.30106,4738214
El Cajon,CA,103679,32.79477,-116.96253,5345529
San Mateo,CA,103536,37.56299,-122.32553,5392423
Brandon,FL,103483,27.9378,-82.28592,4148757
Rialto,CA,103132,34.1064,-117.37032,5387288
Davenport,IA,102582,41.52364,-90.57764,4853423
Edison,NJ,102548,40.51872,-74.4121,5097529
Hillsboro,OR,102347,45.52289,-122.98983,5731371
Las Cruces,NM,101643,32.31232,-106.77834,5475352
South Bend,IN,101516,41.68338,-86.25001,4926563
Albany,NY,101228,42.65258,-73.75623,5106834
New Bedford,MA,101079,41.63526,-70.92701,4945121
Vista,CA,100890,33.20004,-117.24254,5406602
Davie,FL,100882,26.06287,-80.2331,4152820
Chinatown,CA,100574,37.7966,-122.40858,5336477
Renton,WA,100242,47.48288,-122.21707,5808189
Roanoke,VA,100011,37.27097,-79.94143,4782167
San Angelo,TX,99893,31.46377,-100.43704,5530022
Kenosha,WI,99858,42.58474,-87.82119,5258393
Clinton Township,MI,99753,42.58698,-82.91992,4989133
Columbia,MD,99615,39.24038,-76.83942,4352053
Erie,PA,99475,42.12922,-80.08506,5188843
Portsmouth Heights,VA,99049,36.82098,-76.36883,4780011
Richmond Hill,NY,98984,40.69983,-73.83125,5133825
Alief,TX,98725,29.71106,-95.59633,4670249
Spring Hill,FL,98621,28.47688,-82.52546,4173838
Compton,CA,98462,33.89585,-118.22007,5339066
